date, num_pixels, build_time, runtime, num_triangles, num_spheres, num_boxes, %_miss, kdtree_max_depth, kdtree_leaves
Tue Jun 11 18:38:05 2019, 40000, 5.72, 12.97, 69451, 0, 0, 74.31, 20, 119995
Tue Jun 11 18:40:29 2019, 40000, 5.79, 3.34, 69451, 0, 0, 74.31, 20, 119995
Tue Jun 11 18:48:31 2019, 40000, 5.83, 3.29, 69451, 0, 0, 74.31, 20, 119995
Thu Jul  4 20:33:24 2019, 40000, 5.66, 3.15, 69451, 0, 0, 74.31, 20, 119995
Fri Jul  5 17:22:04 2019, 40000, 5.70, 3.22, 69451, 0, 0, 74.31, 20, 119995
Fri Jul  5 17:23:08 2019, 40000, 0.00, 0.55, 1, 3, 0, 73.04, 20, 2
Fri Jul  5 17:27:04 2019, 40000, 0.00, 0.42, 1, 3, 0, 0.00, 20, 2
Fri Jul  5 17:27:24 2019, 40000, 0.00, 0.46, 1, 3, 0, 19.35, 20, 2
Fri Jul  5 17:27:50 2019, 40000, 0.01, 0.56, 1, 3, 0, 76.99, 20, 2
Fri Jul  5 17:30:41 2019, 40000, 0.00, 0.38, 1, 3, 0, 76.99, 20, 2
Fri Jul 12 17:47:28 2019, 40000, 0.00, 0.43, 1, 3, 0, 76.99, 20, 2
