date, num_pixels, build_time, runtime, num_triangles, num_spheres, num_boxes, %_miss, kdtree_max_depth
Fri May  3 13:50:17 2019, 10000, 0.97, 1.28, 948, 0, 0, 75.73, 20
Fri May  3 13:52:42 2019, 10000, 9.31, 82.37, 69451, 0, 0, 74.25, 20
Fri May  3 14:01:29 2019, 10000, 9.29, 81.31, 69451, 0, 0, 74.25, 20
Fri May  3 14:04:16 2019, 10000, 9.29, 81.70, 69451, 0, 0, 74.25, 20
Fri May  3 14:11:11 2019, 10000, 7.93, 69.58, 59451, 0, 0, 74.63, 20
Fri May  3 14:12:50 2019, 10000, 7.86, 68.96, 59451, 0, 0, 74.63, 20
Fri May  3 14:14:59 2019, 10000, 7.87, 68.23, 59451, 0, 0, 74.63, 20
Fri May  3 14:16:58 2019, 10000, 7.03, 55.33, 49451, 0, 0, 75.83, 20
Fri May  3 14:18:25 2019, 10000, 6.62, 54.62, 49451, 0, 0, 75.83, 20
Fri May  3 14:19:47 2019, 10000, 6.58, 54.93, 49451, 0, 0, 75.83, 20
Fri May  3 14:22:15 2019, 10000, 5.31, 39.94, 39451, 0, 0, 78.02, 20
Fri May  3 14:23:12 2019, 10000, 5.22, 39.41, 39451, 0, 0, 78.02, 20
Fri May  3 14:24:09 2019, 10000, 5.24, 39.21, 39451, 0, 0, 78.02, 20
Fri May  3 14:24:55 2019, 10000, 3.99, 27.62, 29451, 0, 0, 81.16, 20
Fri May  3 14:25:41 2019, 10000, 4.18, 25.14, 29451, 0, 0, 81.16, 20
Fri May  3 14:27:00 2019, 10000, 3.91, 25.38, 29451, 0, 0, 81.16, 20
Fri May  3 14:27:54 2019, 10000, 2.54, 13.03, 19451, 0, 0, 86.04, 20
Fri May  3 14:28:49 2019, 10000, 2.51, 12.65, 19451, 0, 0, 86.04, 20
Fri May  3 14:29:22 2019, 10000, 2.51, 12.59, 19451, 0, 0, 86.04, 20
Fri May  3 14:29:47 2019, 10000, 1.24, 2.29, 9451, 0, 0, 95.45, 20
Fri May  3 14:30:31 2019, 10000, 1.22, 2.29, 9451, 0, 0, 95.45, 20
Fri May  3 14:30:44 2019, 10000, 1.21, 2.24, 9451, 0, 0, 95.45, 20
Fri May  3 14:32:09 2019, 10000, 0.55, 0.58, 4451, 0, 0, 98.03, 20
Fri May  3 14:32:21 2019, 10000, 0.55, 0.59, 4451, 0, 0, 98.03, 20
Fri May  3 14:32:31 2019, 10000, 0.57, 0.60, 4451, 0, 0, 98.03, 20
Fri May  3 14:44:40 2019, 10000, 0.26, 0.23, 1951, 0, 0, 99.11, 20
Fri May  3 14:45:02 2019, 10000, 0.23, 0.23, 1951, 0, 0, 99.11, 20
Fri May  3 14:45:28 2019, 10000, 0.23, 0.24, 1951, 0, 0, 99.11, 20
Fri May  3 14:46:11 2019, 10000, 0.90, 1.16, 6951, 0, 0, 97.10, 20
Fri May  3 14:46:39 2019, 10000, 0.89, 1.15, 6951, 0, 0, 97.10, 20
Fri May  3 14:47:55 2019, 10000, 0.89, 1.14, 6951, 0, 0, 97.10, 20
Fri May  3 14:49:58 2019, 10000, 1.57, 4.17, 11951, 0, 0, 92.92, 20
Fri May  3 14:51:40 2019, 10000, 2.25, 9.67, 16951, 0, 0, 87.93, 20
Fri May  3 14:52:39 2019, 10000, 2.19, 9.50, 16951, 0, 0, 87.93, 20
Fri May  3 14:53:32 2019, 10000, 2.24, 9.44, 16951, 0, 0, 87.93, 20
